Name	Park	Inversions	Duration	Track	Speed	Height	Drop	Length
Queen City Stunt Coaster	Kings Island	0	64	Steel	40	45.2	31.2	1960
Quimera	Six Flags Mexico	7	150	Steel	65	105	105	2753
Racer	Kennywood	0	92	Wood	40	72.5	50	4500
Racer	Kings Island	0	180	Wood	53	88	80	6300
Racer 75	Kings Dominion	0	150	Wood	53	88	86	3870
Raging Bull	Six Flags Great America	0	150	Steel	73	202	208	5057
RailBlazer	California's Great America	3	90	Steel	52	106	100	1800
Rapterra	Kings Dominion	3	89	Steel	65	145	145	3086
Raptor	Cedar Point	6	136	Steel	57	137	119	3790
Raptor	Gardaland	3	90	Steel	55.9	108.3	108	2526.3
Raven	Holiday World	0	90	Wood	48	80	85	2800
Ravine Flyer II	Waldameer	0	90	Wood	57	80	118	2900
Recoil	Wonderla Amusement Park Hyderabad	3	108	Steel	47	116.5	116	935
Red Force	Ferrari Land	0	39	Steel	111.8	367.3	345	2887.2
Renegade	Valleyfair!	0	120	Wood	51.3	97.5	91.4	3113
Revolution	Pleasure Beach Resort	1	66	Steel	45	56	47	635
Revolution	Bobbejaanland	0	140	Steel	31.1	60.8	61	2362.2
Revolution	Six Flags Magic Mountain	1	150	Steel	55	113	113	3457
Rhombus Express	Fantasy Island	0	86	Steel	28.8	17.1	17	967.8
Ricochet	Carowinds	0	110	Steel	28	45.9	46	1213.9
RidderStrijd	Avonturenpark Hellendoorn	0	90	Steel	29.1	42.7	42.7	1377.9
Riddler's Revenge	Six Flags Magic Mountain	6	180	Steel	65	156	146	4370
Ride of Steel	Six Flags Darien Lake	0	122	Steel	73	208	205	5400
Ride to Happiness	Plopsaland De Panne	5	105	Steel	55.9	114.8	114.8	3087
Rita	Alton Towers	0	25	Steel	61.1	68.8	68.8	2099.7
River King Mine Train	Six Flags St. Louis	0	180	Steel	37	32	41	2500
Road Runner Express	Six Flags Magic Mountain	0	44	Steel	21.7	27.9	28	679.1
Roar	Six Flags Discovery Kingdom	0	150	Wood	55	96	83	3200
Roaring Timbers	Sun World Hon Thom - Exotica Village	0	130	Wood	49.7	106.3	106	2919.9
Robin Hood	Walibi Holland	0	150	Wood	54	98.4	85	3478
Roller Coaster	Dream Park	5	102	Steel	49.7	109.3	109.3	2509.8
Roller Coaster	Great Yarmouth Pleasure Beach	0	210	Wood	45	70	70	3223.1
Roller Skater	Kijima Kogen Park	0	50	Steel	21.7	27.9	28	679.1
Ronde des Rondins	Fraispertuis City	0	48	Steel	16.2	10.8	11	197.5
Rougarou	Cedar Point	4	160	Steel	60	145	137	3900
Royal Scotsman	Hansa-Park	0	70	Steel	31.1	52.5	52.5	1712.6
Runaway Mine Train	Six Flags Great Adventure	0	180	Steel	32	42	42	2434
Runaway Mountain	Six Flags Over Texas	0	120	Steel	45	51	51	2330
SCOOBY-DOO! Spooky Coaster	Warner Bros. Movie World	0	253	Steel	28	55.8	7	1738.8
SLC	Wuxi Sunac Land	5	96	Steel	49.7	109.3	85	2260.5
SOS Tournevis	Parc Astérix	0	90	Steel	19.9	19.7	19.7	652.9
Sahara Twist	Leofoo Village Theme Park	0	60	Steel	24.9	26.3	26.3	1246.8
Sapphire Speedster Coaster	Merimbula's Magic Mountain	0	89	Steel	22.4	26.3	26.3	1099.1
Saw - The Ride	Thorpe Park	3	100	Steel	50	100	100	2000
Scream	Six Flags Magic Mountain	7	180	Steel	63	150	141	3985
Scream!	Six Flags Magic Mountain	7	180	Steel	63	150	141	3985
Screamin' Eagle	Six Flags St. Louis	0	150	Wood	62	110	92	3872
Sea Dragon	Columbus Zoo and Aquarium	0	90	Wood	25	35	35	1320
Sea Serpent	Morey's Piers	3	108	Steel	47	116.5	116	935
Sea Stallion	Six Flags Qiddiya City	0	63	Steel	43.5	39.4	39	1673.2
Seis Banderas	Six Flags Mexico	0	180	Steel	32	42	42	1969
Serial Thriller	Dalmaland	5	96	Steel	49.7	109.3	85	2260.5
Serpent Dragon	Sochi Park	4	150	Steel	62.1	124.7	124.7	3464.5
Shambhala	PortAventura Park	0	180	Steel	83.3	249.3	255.9	5131.3
SheiKra	Busch Gardens Tampa Bay	2	180	Steel	60	200	200	3188
Shock	MagicLand	1	80	Steel	59	114.8	115	2460.7
Shockwave	Six Flags Over Texas	3	165	Steel	55	116	106	3287
Sidewinder	Elitch Gardens	1	66	Steel	45	56	47	635
Sierra Sidewinder	Knott's Berry Farm	0	116	Steel	36.9	64	41	1505.9
Silver Bullet	Knott's Berry Farm	6	150	Steel	55	146	109	3125
Silver Star	Europa Park	0	195	Steel	78.3	239	220	5500
Silver Streak	Canada's Wonderland	0	76	Steel	26	48.6	49	1122
Sirocco Tower	Six Flags Qiddiya City	0	60	Steel	50	300	300	1800
Skatteøen	Djurs Sommerland	0	90	Steel	43.5	91.9	72.2	1492.8
Skull Mountain	Six Flags Great Adventure	0	84	Steel	33	40.5	37	1377
Sky Scream	Plopsaland Deutschland	1	47	Steel	62	150	150	863
SkyScreamer	Six Flags Mexico	0	120	Steel	75	242	242	200
Skyrush	Hersheypark	4	115	Steel	75	200	212	3600
Snoopy's Racing Railway	Canada's Wonderland	0	60	Steel	31.1	40	40	1312.3
Soaring Dragon	Fantawild Oriental Legend	5	120	Steel	57.8	160.8	161	3015.1
SooperDooperLooper	Hersheypark	1	180	Steel	45	62.5	62.5	2614
Souris Mécaniques	Jardin d'Acclimatation	0	90	Steel	18.6	23	23	711.9
Space Mountain	Walt Disney World - Magic Kingdom	0	155	Steel	27	90	39	3186
Space Shuttle	Enchanted Kingdom	3	108	Steel	47	116.5	116	935
Speed Monster	TusenFryd	3	69	Steel	55.9	101.8	102	2263.8
Speed of Sound	Walibi Holland	3	108	Steel	47	116.5	116	935
Speedy Bob	Bobbejaanland	0	85	Steel	28	45.9	46	1213.9
Spider	Lagoon	0	70	Steel	37.3	50.8	53	1391.1
Spin Mouse	Greenland	0	116	Steel	29.1	42.7	43	1377.9
Spinturn Coaster	Nasu Highland Park	0	123	Steel	29.2	69.9	70	1640.4
SpongeBob SquarePants Rock Bottom Plunge	Nickelodeon Universe	2	120	Steel	43.5	74.5	75	1371.4
Sprocket Rockets	Six Flags Great America	0	44	Steel	21.7	27.9	28	679.1
Stampida	PortAventura Park	0	100	Wood	46	84	88	3127
Star Flyer	Star City	2	65	Steel	38	65.6	66	1148.3
Starry Sky Ripper	Joyland	5	126	Steel	54.7	131.3	104.3	2805.1
Stealth	Thorpe Park	0	40	Steel	80	205	205	1312
Steamin' Demon	Six Flags Great Escape	3	90	Steel	40	85	65	1565
Steel Curtain	Kennywood	8	120	Steel	75	220	205	4000
Steel Dolphin	Shanghai Haichang Ocean Park	0	75	Steel	52.8	108.3	108.3	3372.7
Steel Dragon	Waldameer	0	84	Steel	37.3	50.8	51	1391.1
Steel Dragon 2000	Nagashima Spa Land	0	240	Steel	95	318.2	306.8	8133.2
Steel Eel	SeaWorld San Antonio	0	100	Steel	65	150	150	3700
Steel Force	Dorney Park & Wildwater Kingdom	0	180	Steel	75	200	205	5600
Steel Force	Dorney Park	0	180	Steel	75	205	205	5600
Steel Vengeance	Cedar Point	4	150	Steel	74	205	200	5740
Storm	Magic Park Land	0	55	Steel	28	36.1	36	1066.3
Storm Chaser	Paultons Park	0	116	Steel	36.9	64	41	1505.9
Storm Chaser	Kentucky Kingdom	3	120	Steel	58	100	100	2915
Storm Runner	Hersheypark	3	50	Steel	72	150	180	2600
Stress Express	Fantawild Asian Legend	3	108	Steel	47	116.5	116	935
Studio Tour	Movie Park Germany	0	120	Steel	37.3	39.4	39	1745.4
Super Cyclone	Santa's Village Amusement and Water Park	0	80	Steel	30	32.8	33	1148.3
Superman - Ultimate Flight	Six Flags Over Georgia	2	120	Steel	51	106	100	2759
Superman - Ultimate Flight	Six Flags Great Adventure	2	126	Steel	51	106	100	2759
Superman - Ultimate Flight	Six Flags Great America	2	180	Steel	51	106	100	2798
Superman Krypton Coaster	Six Flags Fiesta Texas	6	155	Steel	70	168	168	4025
Superman el Último Escape	Six Flags Mexico	0	184	Steel	74.6	219.8	205	5577.4
Superman the Ride	Six Flags New England	0	155	Steel	77	208	221	5400
Superman: El Ultimo Escape	Six Flags Mexico	5	155	Steel	49.7	109.3	85	2260
Superman: Escape from Krypton	Six Flags Magic Mountain	0	28	Steel	104	415	328	1315
Superman: The Ride	Six Flags New England	0	180	Steel	77	208	221	5400
Superman: Tower of Power	Six Flags Over Texas	0	60	Steel	70	325	250	200
Superman: Ultimate Flight	Six Flags Great Adventure	4	150	Steel	60	106	100	2759
Superman: Ultimate Flight	Six Flags Discovery Kingdom	0	63	Steel	38	120	54	1019
Swamp Fox	Family Kingdom Amusement Park	0	120	Wood	50	72	62	2640
Swarm	Thorpe Park	4	85	Steel	49.7	127	127	2362
Symbolica	Efteling	0	300	Steel	15	40	40	880
T3	Kentucky Kingdom	5	96	Steel	49.7	109.3	85	2260.5
Taiga	Linnanmäki	4	90	Steel	65.9	170.6	105	3622
Talon	Dorney Park & Wildwater Kingdom	4	120	Steel	58	135	120	3110
Taron	Phantasialand	0	155	Steel	72.7	98	98	4300
Tatsu	Six Flags Magic Mountain	4	200	Steel	62	170	111	3602
Tempesto	Busch Gardens Williamsburg	3	60	Steel	63	157	154	1378
Tennessee Tornado	Dollywood	3	108	Steel	63	163	128	2682
Tentomushi	Tobu Zoo Park	0	90	Steel	19.9	19.7	20	652.9
Terror Twister	Nantong Adventure Land	2	50	Steel	65.3	151.6	152	492.2
Texas Giant	Six Flags Over Texas	0	180	Wood	62	143	137	4920
Texas Stingray	SeaWorld San Antonio	0	150	Wood	55	96	100	3379
The Polar X-plorer	Legoland Billund	0	150	Steel	35	75	75	1247
Thunder Dolphin	Tokyo Dome City	0	90	Steel	80.8	262.5	218.2	3500
Thunder Run	Canada's Wonderland	0	84	Steel	40	33	33	1083
Thunder Striker	Carowinds	0	213	Steel	75	232	211	5316
Thunderbird	PowerPark	0	93	Wood	48	82	80	2713
Thunderbird	Holiday World	4	78	Steel	60	140	125	3035
Thunderbolt	Kennywood	0	101	Wood	55	70	90	3250
Thunderhawk	Dorney Park & Wildwater Kingdom	0	78	Wood	45	80	65	2767
Thunderhawk	Michigan's Adventure	5	96	Steel	49.7	109.3	85	2260.5
Tiger Express	Mer de Sable	0	85	Steel	28	45.9	46	1213.9
Tiki-Waka	Walibi Belgium	0	90	Steel	41	75	75	1400
Timber	Walibi Rhône-Alpes	0	32	Wood	40	55.8	54.8	1464
Timber Terror	Silverwood Theme Park	0	92	Steel	55	85	81	2700
Timber Wolf	Worlds of Fun	0	133	Wood	53	100	95	4230
Time Traveler	Silver Dollar City	3	117	Steel	50.3	100	90	3020
Titan	Six Flags Over Texas	0	210	Steel	85	245	255	5312
Tom y Jerry	Parque Warner Madrid	0	65	Steel	22.4	26.3	26.3	1181.1
Tonnerre 2 Zeus	Parc Astérix	0	125	Wood	52	98	98	4044
Toos-Express	Toverland	0	52	Steel	37.3	39.3	39.3	1049.9
Top Thrill 2	Cedar Point	0	30	Steel	120	420	400	3422
Top Thrill Dragster	Cedar Point	0	17	Steel	120	420	400	2800
Tornado	Adventureland	0	120	Wood	58	93	93	2840
Tornado	Parque de Atracciones de Madrid	3	120	Steel	49.7	98	98	2624.7
Tornado	Särkänniemi Amusement Park	5	94	Steel	46.6	82	82	2296.6
Toxic Garden	Heide Park Resort	5	96	Steel	49.7	109.3	85	2260.5
Train de la Mine	La Coccinelle	0	60	Steel	24.9	32.8	31.2	984.3
Tremors	Silverwood Theme Park	0	100	Steel	50	85	99	3158
Tren Minero	Fantasilandia	0	180	Steel	30.1	45.9	46	2575.5
Troy	Toverland	0	110	Wood	54	104.5	100.7	3534
Tsunami	Six Flags Mexico	0	75	Steel	50	60	60	1400
Tumbili	Kings Dominion	3	95	Steel	48	112	112	1558
Turbine	Walibi Belgium	1	35	Steel	53	137.8	138	722
Turbo Track	Ferrari World Abu Dhabi	0	40	Steel	102	131.2	50	656
Twist	Le Pal	0	90	Steel	43.5	72.2	72	1542
Twisted Colossus	Six Flags Magic Mountain	2	220	Steel	57	121	128	4990
Twisted Cyclone	Six Flags Over Georgia	3	120	Steel	50	100	100	2400
Twisted Timbers	Kings Dominion	0	90	Steel	54	109	109	3351
Twisted Typhoon	Wild Adventures	5	96	Steel	49.7	109.3	85	2260.5
Twister	Knoebels Amusement Resort	0	130	Wood	51.5	101.6	89.6	3900
Twister	Quancheng Euro Park	4	160	Steel	46.6	105	105	2585.3
Twister	Gröna Lund	0	90	Wood	38	51	46	1544
Untamed	Walibi Holland	4	106	Steel	57.2	119.8	116.1	3559.7
V2: Vertical Velocity	Six Flags Discovery Kingdom	0	60	Steel	68	150	150	630
Valkyria	Liseberg	3	90	Steel	65.2	154.2	164	2296.6
Valravn	Cedar Point	3	140	Steel	75	223	214	3415
Vampire	Walibi Belgium	5	96	Steel	49.7	109.3	85	2260
Vapor Trail	Sesame Place	0	180	Steel	27	43	56	1299.2
Velocicoaster	Islands of Adventure	4	155	Steel	70	155	155	4700
Velociraptor	IMG Worlds of Adventure	2	75	Steel	62.1	117.3	117	1476
Verbolten	Busch Gardens Williamsburg	0	110	Steel	53	88	88	3000
Vertical Velocity	Six Flags Great America	0	60	Steel	68	185	185	630
Vertigo	Zoomarine	1	90	Steel	47.8	80.4	80	1942.3
Vindfald	Tivoli Friheden	2	70	Steel	44.7	75.5	65.6	984.3
Viper	Six Flags Magic Mountain	7	150	Steel	70	188	171	3830
Viper	Six Flags Darien Lake	5	124	Steel	50	121	75	3100
Viper	Six Flags Great America	0	105	Wood	50	100	80	3458
Viper	Darien Lake	5	108	Steel	50.3	120	115	2800
Vogel Rok	Efteling	0	101	Steel	40.4	65.6	62.3	2460.6
Vortex	Canada's Wonderland	0	96	Steel	55	91	85	2361
Vortex	Carowinds	0	105	Steel	60	90	90	2040
Voyage	Holiday World	0	165	Wood	67	159	154	6442
Vuelta al Mundo en 80 Dias	Six Flags Mexico	0	180	Steel	32	42	42	2200
Vuoristorata	Linnanmäki	0	130	Wood	37.3	75.2	75.2	3149.6
West Coast Racers	Six Flags Magic Mountain	4	180	Steel	55	67	67	4000
White Lightning	Fun Spot America	0	75	Wood	44.3	69.7	67.2	2032
Whizzer	Six Flags Great America	0	120	Steel	42	70	64	3100
Wicked Cyclone	Six Flags New England	3	150	Steel	55	111	109	3320
Wild Chipmunk	Lakeside Amusement Park	0	48	Steel	21	41	41	1150
Wild Mouse	Antibes Land	0	80	Steel	28	45.9	45.9	1213.9
Wild Mouse	Nagashima Spa Land	0	88	Steel	28	45.9	46	1213.9
Wild Rider	Panorama Mountain Resort	0	180	Steel	24.9	541	541	5977.7
Wild Thing	Valleyfair!	0	180	Steel	74	207	196	5460
Wild West Coaster	Winnoland	0	56	Steel	28.6	38.4	38	833.3
Wildcat	Frontier City	0	130	Wood	46	75	65	2653
Wildcat	Lake Compounce	0	75	Wood	48	85	78	2746
Wildcat	Hersheypark	0	100	Steel	48	140	140	3183
Wilde Beast	Canada's Wonderland	0	122	Wood	56	82	78	3150
Wilde Maus	Wiener Prater	0	70	Steel	28	49.3	49	1213.9
Wildfire	Silver Dollar City	5	136	Steel	66	120	155	3073
Wildfire	Kolmården	3	120	Wood	71.5	183.8	160.8	4150.3
Wildfire	Kolmården Wildlife Park	3	155	Steel	71	183	164	3540
Wipeout	Walibi Holland	0	120	Steel	25	50	50	900
Wodan - Timbur Coaster	Europa Park	0	180	Wood	62.1	131.2	130	3280
Wonder Woman Flight of Courage	Six Flags Magic Mountain	3	120	Steel	52	131	130	3300
Wonder Woman Golden Lasso Coaster	Six Flags Fiesta Texas	3	90	Steel	52	113	100	1800
Wonder Woman: Lasso of Truth	Six Flags Great Adventure	0	120	Steel	75	200	200	3000
Wooden Dragons Roller Coaster	Jinan Sunac Land	0	90	Wood	46	75.5	73.2	2644.4
Wooden Warrior	Quassy Amusement Park	0	60	Wood	35	32	36	1239
Woodstock Express	Carowinds	0	90	Steel	30	35	35	1300
Woodstock Express	Kings Island	0	90	Steel	23	33	33	1350
Wrath of Rakshasa	Six Flags Great America	5	120	Steel	67	180	171	3239
X-Flight	Six Flags Great America	5	175	Steel	54	120	120	3000
X-treme Racers	Legoland Billund	0	90	Steel	35	51.8	49.8	1312.3
X2	Six Flags Magic Mountain	2	210	Steel	76	175	215	3610
Xcelerator	Knott's Berry Farm	0	62	Steel	82	205	205	2202
Xpress: Platform 13	Walibi Holland	3	75	Steel	55.9	84.7	85	3267.7
Yas Waterworld Roller Coaster	Yas Waterworld	0	95	Steel	25	60	60	1312
YoY	Walibi Holland	6	90	Steel	51	95.1	88.6	2149
Young Star Coaster	Farglory Ocean Park	0	44	Steel	21.7	27.9	28	679.1
Yukon Striker	Canada's Wonderland	4	205	Steel	80.8	223	245	3625
Zadra	Energylandia	3	175	Steel	75	207	206	4180
Zeus	Mt. Olympus Water & Theme Park	0	85	Wood	60	90	85	2900
Zimerman	Glorious Fantasyland	3	80	Steel	55	70	65	1565
Zippin Pippin	Bay Beach Amusement Park	0	90	Wood	42	70	63	2347
blue fire Megacoaster	Europa Park	4	150	Steel	62.1	124.7	125	3464.5
